ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-20,263.27480625000004,245.75236216229885,272.5705907014554,263.27480625000004,263.27480625000004,-4.083226327887869,-4.083226327887869,-4.083226327887869,-9.69214698002003,-9.69214698002003,-9.69214698002003,5.608920652132162,5.608920652132162,5.608920652132162,0.0,0.0,0.0,259.19157992211217
2020-02-21,263.49184276112027,246.02911640008978,273.444697137016,263.49184276112027,263.49184276112027,-4.1131217707458925,-4.1131217707458925,-4.1131217707458925,-9.624268009174445,-9.624268009174445,-9.624268009174445,5.5111462384285534,5.5111462384285534,5.5111462384285534,0.0,0.0,0.0,259.37872099037435
2020-02-24,264.14295229448106,245.87748793306642,272.3033584957095,264.14295229448106,264.14295229448106,-4.810964567826805,-4.810964567826805,-4.810964567826805,-9.579607825657929,-9.579607825657929,-9.579607825657929,4.768643257831125,4.768643257831125,4.768643257831125,0.0,0.0,0.0,259.33198772665423
2020-02-25,264.35998880560135,245.77270353500475,271.6371160204095,264.35998880560135,264.35998880560135,-5.413957745658259,-5.413957745658259,-5.413957745658259,-9.790645768879703,-9.790645768879703,-9.790645768879703,4.376688023221444,4.376688023221444,4.376688023221444,0.0,0.0,0.0,258.9460310599431
2020-02-26,264.5770253167216,245.0960917328818,271.4411420350422,264.5770253167216,264.5770253167216,-5.885546069342985,-5.885546069342985,-5.885546069342985,-9.803720644480654,-9.803720644480654,-9.803720644480654,3.918174575137666,3.918174575137666,3.918174575137666,0.0,0.0,0.0,258.6914792473786
2020-02-27,264.79406182784186,245.21579181152546,272.07792265233763,264.79406182784186,264.79406182784186,-6.293879931749476,-6.293879931749476,-6.293879931749476,-9.692146979980695,-9.692146979980695,-9.692146979980695,3.3982670482312187,3.3982670482312187,3.3982670482312187,0.0,0.0,0.0,258.5001818960924
2020-02-28,265.01109833896214,244.5820955943028,270.8924700729734,265.01109833896214,265.01109833896214,-6.801044159799073,-6.801044159799073,-6.801044159799073,-9.624268009150773,-9.624268009150773,-9.624268009150773,2.8232238493517015,2.8232238493517015,2.8232238493517015,0.0,0.0,0.0,258.2100541791631
2020-03-02,265.66220787232294,243.43158115918044,270.43213622175733,265.66220787232294,265.66220787232294,-8.735309730247925,-8.735309730247925,-8.735309730247925,-9.579607825706233,-9.579607825706233,-9.579607825706233,0.844298095458307,0.844298095458307,0.844298095458307,0.0,0.0,0.0,256.926898142075
2020-03-03,265.87924438344317,243.45060773315694,268.93644701243943,265.87924438344317,265.87924438344317,-9.660947605905237,-9.660947605905237,-9.660947605905237,-9.790645768870169,-9.790645768870169,-9.790645768870169,0.12969816296493242,0.12969816296493242,0.12969816296493242,0.0,0.0,0.0,256.21829677753794
2020-03-04,266.09628089456345,242.876858633246,269.15022551368804,266.09628089456345,266.09628089456345,-10.399797447545275,-10.399797447545275,-10.399797447545275,-9.803720644480912,-9.803720644480912,-9.803720644480912,-0.5960768030643627,-0.5960768030643627,-0.5960768030643627,0.0,0.0,0.0,255.69648344701818
2020-03-05,266.31331740568373,242.75889160894982,268.7859573658073,266.31331740568373,266.31331740568373,-11.014839385130658,-11.014839385130658,-11.014839385130658,-9.692146979990174,-9.692146979990174,-9.692146979990174,-1.3226924051404847,-1.3226924051404847,-1.3226924051404847,0.0,0.0,0.0,255.29847802055306
2020-03-06,266.53035391680396,241.5990056821962,267.651103936761,266.53035391680396,266.53035391680396,-11.663957728265144,-11.663957728265144,-11.663957728265144,-9.624268009151404,-9.624268009151404,-9.624268009151404,-2.0396897191137433,-2.0396897191137433,-2.0396897191137433,0.0,0.0,0.0,254.86639618853883
2020-03-09,267.18146345016476,240.0097357305717,266.2390237335943,267.18146345016476,267.18146345016476,-13.609928359285535,-13.609928359285535,-13.609928359285535,-9.579607825605173,-9.579607825605173,-9.579607825605173,-4.030320533680361,-4.030320533680361,-4.030320533680361,0.0,0.0,0.0,253.57153509087922
2020-03-10,267.39849996128504,240.02519357476928,267.32667490826253,267.39849996128504,267.39849996128504,-14.39874246527146,-14.39874246527146,-14.39874246527146,-9.790645768860633,-9.790645768860633,-9.790645768860633,-4.608096696410828,-4.608096696410828,-4.608096696410828,0.0,0.0,0.0,252.9997574960136
2020-03-11,267.6155364724053,240.87650622988502,266.1840475399605,267.6155364724053,267.6155364724053,-14.932106345568577,-14.932106345568577,-14.932106345568577,-9.803720644480737,-9.803720644480737,-9.803720644480737,-5.128385701087841,-5.128385701087841,-5.128385701087841,0.0,0.0,0.0,252.68343012683675
2020-03-12,267.83257298352555,237.84606176499648,265.20139445311213,267.83257298352555,267.83257298352555,-15.275836950566084,-15.275836950566084,-15.275836950566084,-9.69214697998626,-9.69214697998626,-9.69214697998626,-5.583689970579821,-5.583689970579821,-5.583689970579821,0.0,0.0,0.0,252.55673603295946
