Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-02-20,312.3946228027344,313.9614655274482,309.3629074710407,313.12703081262896,74163400
2020-02-21,309.17742919921875,311.3376164210889,308.34299467424273,311.02239754672445,113788200
2020-02-24,298.9234924316406,309.2516446037945,297.82946402329435,299.5910232004645,161088400
2020-02-25,289.8654479980469,300.95384828225366,288.9754164655574,300.3326907572426,218913200
2020-02-26,288.79931640625,294.9275965057254,288.0576280346843,291.2840035739527,194773800
2020-02-27,275.8288269042969,288.8549151828299,275.8288269042969,283.1994499130487,284353500
2020-02-28,274.6698303222656,276.1810473270202,264.7310575575094,267.6607734863517,384975800
2020-03-02,286.56488037109375,286.62978587022843,273.00104573152623,276.4777622675633,238703600
2020-03-03,278.3598937988281,290.96879460409,275.8844868460914,286.9450770481459,300139100
2020-03-04,290.0601501464844,290.2826792604954,281.2246550168901,283.8113402286171,176613400
2020-03-05,280.4181213378906,285.9901496897768,278.1466828598177,282.75449362729097,186366800
2020-03-06,275.7824401855469,277.00625129088274,269.0793482960723,271.78653593607663,228667200
2020-03-09,254.2452850341797,263.479434343099,253.52212927432913,255.23728644644623,309417300
2020-03-10,267.4012756347656,267.49396545505346,253.56856487503316,263.89674596128964,276444100
2020-03-11,254.36587524414062,261.3934951026014,251.13949995245284,260.2438697268134,255316300
2020-03-12,230.02882385253906,247.22698343482088,229.63015302430506,237.34383443386733,392220700
2020-03-13,249.69313049316406,251.69572243435434,230.40894166567574,243.9171357513015,329566100
2020-03-16,222.3708038330078,238.17826430573805,220.0622588716851,223.6038668959046,297240000
2020-03-17,234.37709045410156,237.5015098258838,219.7934251575421,227.18259484964452,262070500
2020-03-18,222.50987243652344,230.26989971077225,211.40292526517004,219.03315567970276,327597100
2020-03-19,222.98269653320312,229.3520511289964,215.2968410618975,221.81452481822967,289322000
2020-03-20,213.3734130859375,227.98687876671326,213.0936374118293,226.17767886812643,347158800
2020-03-23,207.91783142089844,214.19406437131502,203.5440473871526,212.8045351378094,326025200
2020-03-24,226.7559051513672,227.6418639558816,218.0363259189055,218.61451862923366,235494500
2020-03-25,230.1504669189453,239.06590706452997,223.5851369380366,228.3599223786975,299430300
2020-03-26,243.58888244628906,245.08098139998648,232.2580745843836,232.6963864785221,257632800
2020-03-27,236.3334197998047,243.22515620850658,234.12321912503253,236.19353908493855,224341200
2020-03-30,244.00856018066406,244.73596848763387,236.43604589273016,238.45973456519582,171369500
2020-03-31,240.37149047851562,245.57525260936177,238.94465017973812,242.99202705038826,194881100
2020-04-01,229.5536346435547,240.28759621981686,227.4553381139793,231.2602508618741,189554600
2020-04-02,234.85069274902344,235.6433740707997,228.09883517362218,228.65838664898143,177660400
2020-04-03,231.4561004638672,236.2402211530827,228.68634787853023,233.85281401330948,135561200
2020-04-06,247.0020751953125,248.99780157282024,231.43739311010563,240.45540166920895,188061200
2020-04-07,247.25389099121094,256.4863881307819,247.0300818479367,255.7216689446453,201427200
2020-04-08,255.5538330078125,257.39100910248607,247.36581581316824,249.89308912940618,153774500
2020-04-09,259.4427490234375,262.24047804183556,256.8968053711056,258.86452778659265,189999200
2020-04-13,257.0740051269531,258.79927710047826,253.1105555612745,258.4542283977677,114839100
2020-04-14,264.6557922363281,265.6909380967998,256.93406289185134,262.0352555449032,134143400
2020-04-15,259.0323181152344,264.7956309481132,256.88737624548446,258.8551263989519,121775000
2020-04-16,260.2821044921875,261.1493937989634,257.16730242550483,260.32872193277615,131798300
2020-04-17,267.3136901855469,267.92916551234094,263.3595472336006,266.1386349144531,146684800
2020-04-20,262.6041259765625,267.4535335494662,262.38031679810956,263.55534344495436,100109300
2020-04-21,254.63055419921875,259.2934341111443,253.6793084828113,258.0717618510166,126385700
2020-04-22,260.2821044921875,262.05399413419576,258.2397596988275,259.58267212350194,92951600
2020-04-23,260.263427734375,264.7957641605073,259.9556900228357,261.578363967266,104709700
2020-04-24,263.8911437988281,264.57193481319996,259.7225261721367,261.8021817798953,85063200
2020-04-27,267.69598388671875,268.833727976625,265.42983057599315,265.8961186708733,77896600
2020-04-28,266.4649963378906,271.75268722543615,266.1572302676305,271.3983037311806,105270000
2020-04-29,273.440673828125,274.9980886853594,270.8294717165585,271.8739525611851,118745600
2020-04-30,270.894775390625,273.5432886822996,269.1321925129427,272.04182603168465,122901700
2020-05-01,263.72320556640625,271.0625749832255,262.5388156947959,266.0732871131243,125180000
2020-05-04,264.4506530761719,264.7583907151607,260.3100122645108,261.8114463607373,80873200
2020-05-05,266.89398193359375,269.7476627964931,264.5811827381862,267.31365260282996,79569900
2020-05-06,265.0847473144531,269.01088459172803,264.64643542411864,268.6192185807688,73632600
2020-05-07,268.28350830078125,270.2419239683566,267.77060278640107,268.34879546369257,75250400
2020-05-08,272.7225341796875,273.19815705814614,270.3164721050913,271.4635508578603,76452400
2020-05-11,272.7785339355469,274.17739821213945,270.3351888860266,270.76416596205763,79514200
2020-05-12,267.34161376953125,274.40119349845673,267.20170458098124,273.98155131270204,95870800
2020-05-13,262.61346435546875,267.8265619130313,260.15144951971445,266.77274625045317,144721100
2020-05-14,265.7562255859375,265.8867714472554,254.58395310614455,260.1421274300295,121977900
2020-05-15,266.9778747558594,267.02449217512526,262.3709467178578,263.3314989264311,111146300
2020-05-18,275.1099853515625,276.74199373924125,272.9650714260289,273.2914503355905,119703800
2020-05-19,272.28424072265625,276.2383542165477,272.2655994465399,274.503776358932,95189300
2020-05-20,276.90985107421875,277.78647500066535,275.64156107168105,275.8747051274388,85861700
2020-05-21,274.9980773925781,277.5999729875924,273.8883094257428,276.7793013690956,78293900
2020-05-22,275.5203552246094,275.6975470054014,273.45003461848734,274.7090183651781,63958200
2020-05-26,278.9148864746094,281.81521335042993,275.5389650740478,281.57273442332837,88951400
2020-05-27,283.0648498535156,283.10216086991176,276.8538890120153,281.74991401022817,104817400
2020-05-28,282.5426330566406,286.15169866023473,281.8618421354063,284.1093543565007,90405200
2020-05-29,283.8016052246094,284.3984392127956,279.278604815831,282.0669986371333,119090800
2020-06-01,284.9486083984375,285.56411202327604,282.6265030783365,283.1487434036607,55758300
2020-06-02,287.30804443359375,287.35469031653145,284.52898575324014,285.88120407905984,74267200
2020-06-03,291.131591796875,292.10147888211145,289.04263049940863,289.3223919374753,92567600
2020-06-04,290.366943359375,291.89638215348884,288.2406705319273,290.13379928417254,75794400
2020-06-05,297.80889892578125,299.60876427400115,295.7758895129743,295.84117668145115,150524700
2020-06-08,301.4086608886719,301.60449393595724,298.0793567849757,298.6295733673282,73641200
2020-06-09,299.1611328125,301.48323848713284,297.8275271917575,298.70415111309836,77479200
2020-06-10,297.4917297363281,300.65317588552927,296.7643216296032,299.7485760705032,95000800
2020-06-11,280.34173583984375,291.1036738483451,279.7822128518547,290.4601939521889,209243600
2020-06-12,283.6989440917969,288.240584771874,278.46720626163506,287.45722432746294,194678900
2020-06-15,286.3475036621094,287.4945826049996,276.73264555745334,277.9263419251905,135782700
2020-06-16,291.85906982421875,294.35839592876164,286.92576170622976,294.2091803061046,137627500
2020-06-17,290.6466979980469,293.1926412353925,289.90061997210125,292.8942100250143,83398900
2020-06-18,290.7586364746094,291.2435659030171,288.6416985279427,289.1079866760167,80828700
2020-06-19,289.096923828125,294.47345778614556,287.1205141986351,294.276762993468,135549600
2020-06-22,290.9515380859375,291.3543036269551,287.32659104636923,288.4880651033334,74649400
2020-06-23,292.291015625,294.5858933186403,291.878874091569,293.6398372643726,68471200
2020-06-24,284.8350524902344,290.8485514007504,282.97106821028643,290.22096314675923,132813500
2020-06-25,287.88861083984375,288.1602560504221,282.2029562387228,284.25428777629224,89468000
2020-06-26,281.0508117675781,286.9893878943907,280.46072740182217,286.7739412119946,127961000
2020-06-29,285.18157958984375,285.3220758702378,280.00174042781555,282.3247170760809,79773300
2020-06-30,288.8346252441406,290.55814156430307,284.5821187113963,284.7413383004649,113394800
2020-07-01,290.8579406738281,292.1412166267354,289.4997714636955,289.96811158826796,72396500
2020-07-02,292.45965576171875,295.7099370504832,291.7852449051529,294.34236343967393,69344200
2020-07-06,296.9744567871094,297.5645699082259,295.5788123855693,296.33752108837274,61713800
2020-07-07,293.9114685058594,297.41464278802863,293.5274262504825,295.410162321055,82910000
2020-07-08,296.159423828125,296.2718208348669,292.89979629180914,294.6888296244514,54638600
2020-07-09,294.4734802246094,297.02125111727224,291.00775258749655,296.77770515573906,83354200
2020-07-10,297.4802551269531,297.75190038318647,292.95610243214134,294.40794527798914,57550400
2020-07-13,294.90435791015625,302.2760256899368,294.2393230460445,299.85940362043874,102997500
2020-07-14,298.7259826660156,299.5127903949357,292.2441448250976,293.4618173277874,93657000
2020-07-15,301.4704895019531,302.58514108410617,299.053838887541,301.9950280600007,87196500
2020-07-16,300.4776306152344,300.93659473733226,298.8852629404968,299.5409504736733,54622500
2020-07-17,301.3487243652344,302.1449081711066,299.4940874676366,301.49859661218045,62774900
2020-07-20,303.7840576171875,304.54276611327987,300.318330261177,301.07703875726935,56308800
2020-07-21,304.4304504394531,306.2288604717977,303.42819573375857,305.7792722563176,57292200
2020-07-22,306.1632080078125,306.4817043595979,303.9526569508862,304.06505397612585,57792900
2020-07-23,302.5101623535156,306.5098042157516,301.12389425924033,305.7979182742342,75738000
2020-07-24,300.5619201660156,301.6016213737728,299.0351270034531,300.6274946345792,73766600
2020-07-27,302.7537841796875,302.93175570967287,300.4589061889574,301.2644660486615,48293000
2020-07-28,300.83355712890625,303.1471580949692,300.5338126396104,302.01375460454585,57495000
2020-07-29,304.53338623046875,305.1047758745193,301.6858711275575,301.72334633008643,48454200
2020-07-30,303.4468078613281,303.8683252441041,299.40037247860636,301.5172495830057,61861700
2020-07-31,305.8447570800781,305.9478067490246,300.983385374377,305.26402002756305,84986800
2020-08-03,307.9710998535156,308.74853186446853,306.97822109966637,307.53085900339664,53077900
2020-08-04,309.16064453125,309.16064453125,307.0999367904349,307.0999367904349,41917900
2020-08-05,311.080810546875,311.34310841351856,310.20970492480694,310.4813501543965,42697700
2020-08-06,313.16021728515625,313.28199026091323,310.16285838399455,310.4907021067543,43679400
2020-08-07,313.3851013183594,313.6754698934905,311.2588189702048,312.1767758567165,57308300
2020-08-10,314.3217468261719,314.50906569433704,311.8769969101292,313.8440308297158,44282100
2020-08-11,311.7270812988281,316.1669637762921,310.98712470692084,315.52065231283603,69601100
2020-08-12,316.0733642578125,316.860172183845,314.17190462359787,314.20000388577006,53774400
2020-08-13,315.50189208984375,316.8319901841447,314.56521214842724,315.295821359324,41816100
2020-08-14,315.5112609863281,316.05455134792356,314.36851033992696,315.10849548096775,47260400
2020-08-17,316.51361083984375,316.91637646670074,315.5207321114371,316.5417101025265,35481000
2020-08-18,317.1973571777344,317.62822201225964,315.2958691665476,316.9163360015772,38733900
2020-08-19,315.87664794921875,318.10592262882545,315.3052582102795,317.5813840471287,68054200
2020-08-20,316.8600769042969,317.34714016389256,313.9938386837642,314.1249590060698,42207800
2020-08-21,317.9841613769531,318.2089554471391,316.17634711185,316.5229427503298,55106600
2020-08-24,321.2063903808594,321.2813122202107,317.9561089068266,320.45702906128884,48588700
2020-08-25,322.33038330078125,322.4146810878891,320.5975192274457,321.77774541737784,38463400
2020-08-26,325.5618591308594,325.8334757367222,322.37715299785725,322.9297907416108,50790200
2020-08-27,326.27374267578125,327.74433718514877,324.58773005377924,326.4423668061463,58034100
2020-08-28,328.3812561035156,328.51240502213,326.1051306036052,327.3134557864188,48588900
2020-08-31,327.19171142578125,329.0556956090468,326.95754140938277,328.16586669785687,66099200
2020-09-01,330.27337646484375,330.3763975448024,327.12611677435257,328.03469752532,54908700
2020-09-02,335.0503845214844,336.03388690272953,331.050743377968,332.2122457978115,69540000
2020-09-03,323.51995849609375,333.81406380807414,320.8972370241413,333.336347802371,148011100
2020-09-04,320.8785705566406,325.8054893942068,313.666120962586,324.2131500684587,139156300
2020-09-08,312.11114501953125,320.94405943361454,311.802053186897,315.38952512691657,114465300
2020-09-09,318.2745666503906,320.7754867255069,315.2959019505696,316.176383607373,91462300
2020-09-10,312.7481689453125,320.84107109300925,311.77401352334135,320.17603614796514,90569500
2020-09-11,312.9073181152344,315.63306034199246,310.04107960569604,314.5558840604034,84680200
2020-09-14,317.0286560058594,318.82709390657243,313.0571425643356,316.1200754022805,65605700
2020-09-15,318.6304626464844,320.36329785700826,317.038095140093,319.5202915357684,52920900
2020-09-16,317.36590576171875,321.3374195804574,317.08488462715303,319.88557710007984,82096000
2020-09-17,314.5745849609375,316.3168244989197,311.9050414374569,312.43895585919364,91523300
2020-09-18,310.95306396484375,315.504740113723,308.4327193426738,315.3918931455118,105877900
2020-09-21,307.49224853515625,307.6427207058514,302.5644069183266,306.29791334853064,99450800
2020-09-22,310.6238708496094,311.1881343231044,306.4483613252319,308.99694608558497,63612100
2020-09-23,303.42022705078125,311.47030232000276,302.9123870189486,311.1881562135915,93112200
2020-09-24,304.22894287109375,307.33234873737626,300.7493422455752,302.08476476174945,76681300
2020-09-25,309.1474304199219,309.9467726142163,302.47978804991413,303.36376546361737,71069400
2020-09-28,314.2821044921875,315.00622480064914,312.363620474125,313.3698868232702,64584600
